message_id,conversation_id,timestamp,direction,sender_type,text
msg_01037,conv_0211,2026-06-01 09:49:00,incoming,client,"Здравствуйте. Подскажите, вы работаете в воскресенье?"
msg_01038,conv_0211,2026-06-01 09:52:00,outgoing,bot,"Да, работаем в воскресенье по предварительной записи."
msg_01039,conv_0211,2026-06-01 10:09:00,incoming,client,"Спасибо, подумаю и напишу."
msg_01040,conv_0211,2026-06-01 10:11:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_01041,conv_0211,2026-06-01 10:13:00,incoming,client,"Спасибо, подумаю и напишу."
msg_01154,conv_0235,2026-06-01 12:47:00,incoming,client,"Здравствуйте. Нужно перенести запись, не успеваю приехать."
msg_01155,conv_0235,2026-06-01 12:50:00,outgoing,bot,"Понял. Я передам менеджеру запрос на перенос, он проверит запись и подтвердит."
msg_01156,conv_0235,2026-06-01 13:07:00,incoming,client,"Отлично, тогда на связи."
msg_01157,conv_0235,2026-06-01 13:09:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_01158,conv_0235,2026-06-01 13:11:00,incoming,client,"Спасибо, подумаю и напишу."
msg_01159,conv_0235,2026-06-01 13:13:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00316,conv_0064,2026-06-01 13:41:00,incoming,client,"Здравствуйте. Нужно записаться на Paint correction, машина Honda Accord 8."
msg_00317,conv_0064,2026-06-01 13:44:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00318,conv_0064,2026-06-01 14:01:00,incoming,client,"Отлично, тогда на связи."
msg_00319,conv_0064,2026-06-01 14:03:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00320,conv_0064,2026-06-01 14:05:00,incoming,client,"Спасибо, подумаю и напишу."
msg_00044,conv_0009,2026-06-01 14:40:00,incoming,client,"Здравствуйте. Нужно записаться на Detailing wash, машина Volkswagen Tiguan."
msg_00045,conv_0009,2026-06-01 14:43:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00046,conv_0009,2026-06-01 15:00:00,incoming,client,"Хорошо, жду менеджера."
msg_00047,conv_0009,2026-06-01 15:02:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00048,conv_0009,2026-06-01 15:04:00,incoming,client,"Хорошо, жду менеджера."
msg_00793,conv_0161,2026-06-01 15:33:00,incoming,client,Добрый день. Сколько примерно стоит Window tinting на Kia K5?
msg_00794,conv_0161,2026-06-01 15:36:00,outgoing,bot,"Сориентирую по цене, но сначала уточню авто и объём работ."
msg_00795,conv_0161,2026-06-01 15:53:00,incoming,client,"Отлично, тогда на связи."
msg_00796,conv_0161,2026-06-01 15:55:00,outgoing,bot,"Хорошо, если появятся вопросы — напишите."
msg_00389,conv_0080,2026-06-01 17:30:00,incoming,client,"Здравствуйте. Нужно записаться на Chrome delete, машина Kia K5."
msg_00390,conv_0080,2026-06-01 17:33:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00391,conv_0080,2026-06-01 17:50:00,incoming,client,"Отлично, тогда на связи."
msg_00392,conv_0080,2026-06-01 17:52:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00393,conv_0080,2026-06-01 17:54:00,incoming,client,"Хорошо, жду менеджера."
msg_00394,conv_0080,2026-06-01 17:56:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_00288,conv_0058,2026-06-01 18:19:00,incoming,client,"Здравствуйте. Нужно записаться на Paint correction, машина Geely Monjaro."
msg_00289,conv_0058,2026-06-01 18:22:00,outgoing,bot,Добрый день. Уточню пару деталей и передам менеджеру полную заявку.
msg_00290,conv_0058,2026-06-01 18:39:00,incoming,client,"Понял, спасибо."
msg_00291,conv_0058,2026-06-01 18:41:00,outgoing,bot,"Да, передал информацию менеджеру."
msg_00292,conv_0058,2026-06-01 18:43:00,incoming,client,"Отлично, тогда на связи."
msg_01160,conv_0236,2026-06-01 20:00:00,incoming,client,"Здравствуйте. Нужно перенести запись, не успеваю приехать."
msg_01161,conv_0236,2026-06-01 20:03:00,outgoing,bot,"Понял. Я передам менеджеру запрос на перенос, он проверит запись и подтвердит."
msg_01162,conv_0236,2026-06-01 20:20:00,incoming,client,"Хорошо, жду менеджера."
msg_01163,conv_0236,2026-06-01 20:22:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
msg_01164,conv_0236,2026-06-01 20:24:00,incoming,client,"Хорошо, жду менеджера."
msg_01165,conv_0236,2026-06-01 20:26:00,outgoing,bot,Менеджер проверит детали и свяжется с вами.
